Album,Youth,Fun,BTS,Love,Dating,Loss,Social Issues,Dreams,Loneliness
2 Cool 4 Skool ,0,0,2,1,1,0,0,0,2
"O!RUL8,2?",1,2,3,0,0,1,2,1,0
Skool Luv Affair (Special Edition),2,3,2,1,3,3,1,2,1
Dark&Wild,2,0,1,1,3,1,0,3,0
The Most Beautiful Moment In Life Pt.1,1,2,1,0,2,1,0,2,0
The Most Beautiful Moment In Life Pt.2,0,2,0,1,0,1,1,2,1
The Most Beautiful Moment In Life: Young Forever,1,0,0,1,0,0,1,0,1
Wings,2,1,2,1,1,2,5,1,0
You Never Walk Alone,1,0,0,0,1,2,1,0,0
Face Yourself,1,1,1,1,2,0,0,0,1
Love Yourself  'Her',1,1,0,2,1,2,2,0,1
Love Yourself  'Tear',2,2,3,2,0,2,2,2,3
Love Yourself  'Answer',1,1,0,4,1,0,0,1,4
